name,owner,url,stargazers,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
frp,fatedier,https://github.com/fatedier/frp,104908,2015-12-21T15:24:59Z,2026-03-06T01:40:48Z,Go,735,109,4059,4022
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,103828,2013-12-15T14:31:41Z,2026-03-06T01:24:17Z,Shell,439,0,248,246
create-react-app,facebook,https://github.com/facebook/create-react-app,103825,2016-07-17T14:55:11Z,2026-03-05T23:18:00Z,JavaScript,1949,83,8421,6574
tauri,tauri-apps,https://github.com/tauri-apps/tauri,103678,2019-07-13T09:09:37Z,2026-03-06T02:08:14Z,Rust,5400,0,6169,4912
terminal,microsoft,https://github.com/microsoft/terminal,102027,2017-08-11T18:38:22Z,2026-03-06T01:03:09Z,C++,4379,148,13817,12169
DeepSeek-V3,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-V3,101898,2024-12-26T09:52:40Z,2026-03-06T01:32:52Z,Python,25,1,723,679
clash-verge-rev,clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,100632,2023-11-21T18:24:03Z,2026-03-06T02:06:04Z,TypeScript,751,62,5001,4836
angular,angular,https://github.com/angular/angular,100070,2014-09-18T16:12:01Z,2026-03-06T02:03:25Z,TypeScript,5682,610,30373,29376
awesome-llm-apps,Shubhamsaboo,https://github.com/Shubhamsaboo/awesome-llm-apps,99853,2024-04-29T05:30:25Z,2026-03-06T02:09:42Z,Python,170,0,119,119
awesome-mac,jaywcjlove,https://github.com/jaywcjlove/awesome-mac,99562,2016-07-17T15:33:47Z,2026-03-06T02:09:45Z,JavaScript,1081,13,513,378
supabase,supabase,https://github.com/supabase/supabase,98583,2019-10-12T05:56:49Z,2026-03-06T01:32:33Z,TypeScript,15583,26,5240,4973
HowToCook,Anduin2017,https://github.com/Anduin2017/HowToCook,98540,2020-02-29T10:43:49Z,2026-03-06T01:39:32Z,Dockerfile,614,4,827,364
every-programmer-should-know,mtdvio,https://github.com/mtdvio/every-programmer-should-know,98183,2017-08-24T13:18:26Z,2026-03-05T20:33:21Z,None,110,0,45,31
material-ui,mui,https://github.com/mui/material-ui,98005,2014-08-18T19:11:54Z,2026-03-06T01:41:40Z,JavaScript,21490,558,20348,18753
pytorch,pytorch,https://github.com/pytorch/pytorch,97987,2016-08-13T05:26:41Z,2026-03-06T02:08:31Z,Python,6428,64,57147,41051
v2rayN,2dust,https://github.com/2dust/v2rayN,97980,2019-07-30T03:47:24Z,2026-03-06T02:06:12Z,C#,395,300,6598,6592
ant-design,ant-design,https://github.com/ant-design/ant-design,97669,2015-04-24T15:37:24Z,2026-03-06T01:21:18Z,TypeScript,17063,740,32407,31120
neovim,neovim,https://github.com/neovim/neovim,96969,2014-01-31T13:39:22Z,2026-03-06T02:06:04Z,Vim Script,17734,48,13750,12108
llama.cpp,ggml-org,https://github.com/ggml-org/llama.cpp,96822,2023-03-10T18:58:00Z,2026-03-06T02:10:06Z,C++,7478,1000,7128,6688
gemini-cli,google-gemini,https://github.com/google-gemini/gemini-cli,96590,2025-04-17T17:04:31Z,2026-03-06T02:08:36Z,TypeScript,5284,395,10768,8690
fastapi,fastapi,https://github.com/fastapi/fastapi,95922,2018-12-08T08:21:47Z,2026-03-06T01:42:40Z,Python,3171,269,3506,3495
thefuck,nvbn,https://github.com/nvbn/thefuck,95606,2015-04-08T15:08:04Z,2026-03-05T22:18:00Z,Python,481,17,774,477
whisper,openai,https://github.com/openai/whisper,95497,2022-09-16T20:02:54Z,2026-03-06T01:51:31Z,Python,119,13,0,0
Web-Dev-For-Beginners,microsoft,https://github.com/microsoft/Web-Dev-For-Beginners,95387,2020-11-10T02:44:00Z,2026-03-06T01:10:23Z,JavaScript,654,0,423,362
clean-code-javascript,ryanmcdermott,https://github.com/ryanmcdermott/clean-code-javascript,94313,2016-11-25T22:25:41Z,2026-03-05T22:39:55Z,JavaScript,149,0,245,165
immich,immich-app,https://github.com/immich-app/immich,94098,2022-02-03T15:56:27Z,2026-03-06T02:06:16Z,TypeScript,8731,287,8007,7492
tailwindcss,tailwindlabs,https://github.com/tailwindlabs/tailwindcss,93923,2017-10-06T14:59:14Z,2026-03-06T01:42:24Z,TypeScript,3302,300,4771,4720
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,93794,2014-08-09T16:45:18Z,2026-03-05T16:56:48Z,Java,1520,0,978,839
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,93717,2017-05-09T22:16:13Z,2026-03-05T23:38:59Z,TypeScript,5836,646,7323,7065
nvm,nvm-sh,https://github.com/nvm-sh/nvm,92043,2010-04-15T17:47:47Z,2026-03-06T01:29:07Z,Shell,741,71,2393,2062
DeepSeek-R1,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-R1,91916,2025-01-20T11:57:28Z,2026-03-06T01:34:30Z,None,10,1,691,664
app-ideas,florinpop17,https://github.com/florinpop17/app-ideas,90952,2019-02-25T18:36:56Z,2026-03-06T01:43:20Z,None,151,0,196,51
vue-element-admin,PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,90289,2017-04-17T03:35:49Z,2026-03-06T02:05:50Z,Vue,311,49,3613,2356
markitdown,microsoft,https://github.com/microsoft/markitdown,90167,2024-11-13T19:56:40Z,2026-03-06T01:50:28Z,Python,170,18,386,84
storybook,storybookjs,https://github.com/storybookjs/storybook,89367,2016-03-18T04:23:44Z,2026-03-05T19:18:16Z,TypeScript,12276,1000,14155,12042
firecrawl,firecrawl,https://github.com/firecrawl/firecrawl,88620,2024-04-15T21:02:29Z,2026-03-06T02:10:39Z,TypeScript,1361,32,824,779
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,88361,2010-12-19T15:16:43Z,2026-03-06T00:49:14Z,C++,16168,63,9013,8651
gin,gin-gonic,https://github.com/gin-gonic/gin,88198,2014-06-16T23:57:25Z,2026-03-06T01:25:59Z,Go,1224,29,2382,1786
bun,oven-sh,https://github.com/oven-sh/bun,87896,2021-04-14T00:48:17Z,2026-03-06T02:00:06Z,Zig,7177,210,15762,10920
NextChat,ChatGPTNextWeb,https://github.com/ChatGPTNextWeb/NextChat,87435,2023-03-10T18:27:54Z,2026-03-06T01:38:51Z,TypeScript,894,77,3582,2899
LLMs-from-scratch,rasbt,https://github.com/rasbt/LLMs-from-scratch,87221,2023-07-23T18:15:57Z,2026-03-06T01:37:11Z,Jupyter Notebook,481,0,218,218
django,django,https://github.com/django/django,86976,2012-04-28T02:47:18Z,2026-03-06T01:59:13Z,Python,10323,0,0,0
hugo,gohugoio,https://github.com/gohugoio/hugo,86918,2013-07-04T15:26:26Z,2026-03-06T00:08:39Z,Go,3239,365,8033,7792
mermaid,mermaid-js,https://github.com/mermaid-js/mermaid,86506,2014-11-01T23:52:32Z,2026-03-06T01:51:44Z,TypeScript,2585,179,3577,2210
opencv,opencv,https://github.com/opencv/opencv,86447,2012-07-19T09:40:17Z,2026-03-06T01:12:47Z,C++,13504,67,11435,8866
svelte,sveltejs,https://github.com/sveltejs/svelte,86004,2016-11-20T18:13:05Z,2026-03-06T00:50:44Z,JavaScript,6518,606,8925,8009
weekly,ruanyf,https://github.com/ruanyf/weekly,85212,2018-10-13T12:36:07Z,2026-03-06T01:55:46Z,None,105,0,8487,1286
core,home-assistant,https://github.com/home-assistant/core,85157,2013-09-17T07:29:48Z,2026-03-05T23:02:55Z,Python,82560,1000,68276,65363
skills,anthropics,https://github.com/anthropics/skills,85015,2025-09-22T15:53:31Z,2026-03-06T02:09:33Z,Python,21,0,147,21
manim,3b1b,https://github.com/3b1b/manim,84990,2015-03-22T18:50:58Z,2026-03-06T02:05:01Z,Python,661,13,1223,765
ML-For-Beginners,microsoft,https://github.com/microsoft/ML-For-Beginners,84143,2021-03-03T01:34:05Z,2026-03-06T01:54:14Z,Jupyter Notebook,446,0,158,158
laravel,laravel,https://github.com/laravel/laravel,83896,2011-06-08T03:06:08Z,2026-03-06T01:43:40Z,Blade,1670,211,0,0
uptime-kuma,louislam,https://github.com/louislam/uptime-kuma,83649,2021-07-03T01:02:42Z,2026-03-06T01:49:30Z,JavaScript,1684,125,4643,3981
playwright,microsoft,https://github.com/microsoft/playwright,83557,2019-11-15T18:32:42Z,2026-03-06T02:09:04Z,TypeScript,16278,158,17098,16506
awesome-for-beginners,MunGell,https://github.com/MunGell/awesome-for-beginners,83180,2015-10-24T19:53:36Z,2026-03-06T00:53:06Z,None,469,0,204,188
mall,macrozheng,https://github.com/macrozheng/mall,83028,2018-04-04T01:11:44Z,2026-03-06T02:10:35Z,Java,1,3,499,489
realworld,realworld-apps,https://github.com/realworld-apps/realworld,82919,2016-02-26T20:49:53Z,2026-03-06T00:25:56Z,TypeScript,434,0,545,511
animate.css,animate-css,https://github.com/animate-css/animate.css,82617,2011-10-12T10:07:38Z,2026-03-05T18:28:44Z,CSS,315,22,883,843
awesome-mcp-servers,punkpeye,https://github.com/punkpeye/awesome-mcp-servers,82282,2024-11-30T04:49:10Z,2026-03-06T01:35:51Z,None,1409,0,210,151
devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,81403,2019-10-03T17:31:21Z,2026-03-06T01:41:51Z,Python,309,0,104,69
awesome-interview-questions,DopplerHQ,https://github.com/DopplerHQ/awesome-interview-questions,81259,2015-11-28T09:48:17Z,2026-03-06T01:24:04Z,None,175,0,61,34
FiraCode,tonsky,https://github.com/tonsky/FiraCode,81240,2014-11-11T19:32:38Z,2026-03-06T01:46:24Z,Clojure,142,29,1380,959
syncthing,syncthing,https://github.com/syncthing/syncthing,80543,2013-11-26T09:48:21Z,2026-03-06T01:56:35Z,Go,2837,462,5858,5487
uv,astral-sh,https://github.com/astral-sh/uv,80329,2023-10-02T20:24:11Z,2026-03-06T01:36:14Z,Rust,8507,259,8618,6256
servers,modelcontextprotocol,https://github.com/modelcontextprotocol/servers,80261,2024-11-19T01:10:17Z,2026-03-06T02:09:56Z,TypeScript,1178,24,840,560
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,80170,2012-10-19T15:02:57Z,2026-03-05T23:38:40Z,Java,42,339,41400,40903
system-design-101,ByteByteGoHq,https://github.com/ByteByteGoHq/system-design-101,79969,2023-09-18T20:52:03Z,2026-03-05T18:41:38Z,None,23,0,58,18
