name,owner,url,stargazers,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,472574,2018-05-09T12:03:18Z,2026-03-06T02:04:14Z,Markdown,155,0,888,653
awesome,sindresorhus,https://github.com/sindresorhus/awesome,442904,2014-07-11T13:42:37Z,2026-03-06T02:06:10Z,None,694,0,365,349
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,437813,2014-12-24T17:49:19Z,2026-03-06T02:06:42Z,TypeScript,27772,0,21154,20978
public-apis,public-apis,https://github.com/public-apis/public-apis,404556,2016-03-20T23:49:42Z,2026-03-06T02:04:36Z,Python,1872,0,839,833
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,383639,2013-10-11T06:50:37Z,2026-03-06T01:50:43Z,Python,7328,0,1263,1227
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,350253,2017-03-15T13:45:52Z,2026-03-06T01:37:29Z,TypeScript,4073,1,3085,3054
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,337617,2016-06-06T02:34:12Z,2026-03-06T01:53:03Z,None,415,0,525,454
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,337402,2017-02-26T16:15:28Z,2026-03-06T02:04:30Z,Python,203,0,360,110
awesome-python,vinta,https://github.com/vinta/awesome-python,285769,2014-06-27T21:00:06Z,2026-03-06T02:06:11Z,Python,641,0,0,0
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,277612,2015-06-01T02:33:17Z,2026-03-06T02:06:11Z,None,2395,1,807,807
996.ICU,996icu,https://github.com/996icu/996.ICU,275652,2019-03-26T07:31:14Z,2026-03-06T02:06:42Z,None,1072,0,0,0
openclaw,openclaw,https://github.com/openclaw/openclaw,265812,2025-11-24T10:16:47Z,2026-03-06T02:07:08Z,TypeScript,2748,59,15406,10038
project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,260295,2017-04-12T05:07:46Z,2026-03-06T02:01:34Z,None,182,0,227,82
react,facebook,https://github.com/facebook/react,243641,2013-05-24T16:15:54Z,2026-03-06T01:28:03Z,JavaScript,12774,118,14385,13576
linux,torvalds,https://github.com/torvalds/linux,221063,2011-09-04T22:48:12Z,2026-03-06T01:54:53Z,C,0,0,0,0
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,218369,2016-07-16T09:44:01Z,2026-03-05T23:38:17Z,Python,3046,0,1702,1540
vue,vuejs,https://github.com/vuejs/vue,209957,2013-07-29T03:24:51Z,2026-03-06T01:42:01Z,TypeScript,1136,249,10027,9668
the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,208828,2018-06-23T10:43:14Z,2026-03-06T02:06:11Z,None,122,0,0,0
computer-science,ossu,https://github.com/ossu/computer-science,202147,2014-05-04T00:18:39Z,2026-03-06T00:37:14Z,HTML,305,0,666,654
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,195734,2018-03-24T07:47:04Z,2026-03-06T01:46:53Z,JavaScript,304,0,371,233
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,194007,2015-11-07T01:19:20Z,2026-03-06T01:01:31Z,C++,42330,221,41196,40300
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,185131,2009-08-28T18:15:37Z,2026-03-06T01:15:58Z,Shell,3515,0,5034,4891
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,184462,2013-11-16T02:37:24Z,2026-03-05T23:44:57Z,None,370,0,949,949
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,183818,2018-02-13T14:56:24Z,2026-03-06T01:59:53Z,None,374,0,578,449
vscode,microsoft,https://github.com/microsoft/vscode,182323,2015-09-03T20:23:38Z,2026-03-06T02:05:57Z,TypeScript,43337,197,232210,218773
AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,182201,2023-03-16T09:21:07Z,2026-03-06T01:27:35Z,Python,3970,94,3739,3505
Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,179314,2018-03-01T16:05:52Z,2026-03-06T01:51:29Z,Jupyter Notebook,13,0,711,188
n8n,n8n-io,https://github.com/n8n-io/n8n,177767,2019-06-22T09:24:21Z,2026-03-06T02:04:30Z,TypeScript,14089,547,8223,7747
flutter,flutter,https://github.com/flutter/flutter,175439,2015-03-06T22:54:58Z,2026-03-06T02:06:54Z,Dart,46935,7,112444,100284
bootstrap,twbs,https://github.com/twbs/bootstrap,174025,2011-07-29T21:19:00Z,2026-03-06T00:49:56Z,MDX,9114,94,22848,22459
gitignore,github,https://github.com/github/gitignore,172835,2010-11-08T20:17:14Z,2026-03-06T00:44:22Z,None,1727,0,0,0
Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,167808,2020-01-12T23:03:34Z,2026-03-06T01:53:46Z,Batchfile,5,29,908,906
awesome-go,avelino,https://github.com/avelino/awesome-go,166651,2014-07-06T13:42:15Z,2026-03-06T02:06:12Z,Go,3610,0,727,713
ollama,ollama,https://github.com/ollama/ollama,164209,2023-06-26T19:39:32Z,2026-03-06T01:48:47Z,Go,3073,189,9490,7501
stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,161509,2022-08-22T14:05:26Z,2026-03-06T01:11:36Z,Python,1884,27,7886,5486
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,160083,2015-05-20T15:11:03Z,2026-03-06T01:55:44Z,None,317,0,258,136
transformers,huggingface,https://github.com/huggingface/transformers,157453,2018-10-29T13:56:00Z,2026-03-06T01:49:44Z,Python,18738,244,18664,17588
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,154055,2018-05-07T13:27:00Z,2026-03-06T02:06:41Z,Java,1213,0,1131,1057
FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,150838,2024-05-30T13:23:00Z,2026-03-06T02:01:51Z,HTML,1,0,0,0
prompts.chat,f,https://github.com/f/prompts.chat,150211,2022-12-05T13:54:13Z,2026-03-06T02:02:01Z,HTML,200,0,131,128
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,149783,2020-10-26T04:22:55Z,2026-03-06T02:01:35Z,Python,3229,131,11123,9305
javascript,airbnb,https://github.com/airbnb/javascript,148096,2012-11-01T23:13:50Z,2026-03-06T02:07:16Z,JavaScript,813,0,1401,1299
langflow,langflow-ai,https://github.com/langflow-ai/langflow,145286,2023-02-08T22:28:03Z,2026-03-06T01:29:20Z,Python,5792,285,3160,2819
HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,144905,2016-05-04T06:24:11Z,2026-03-06T01:57:12Z,Python,17,63,2963,2681
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,139802,2010-10-31T14:35:07Z,2026-03-06T01:51:56Z,Python,1646,341,26819,23190
next.js,vercel,https://github.com/vercel/next.js,138169,2016-10-05T23:32:51Z,2026-03-06T01:41:51Z,JavaScript,26138,1000,24313,22260
tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,138003,2016-07-05T05:00:48Z,2026-03-05T23:51:39Z,TypeScript,486,0,120,76
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,136538,2017-11-21T18:00:27Z,2026-03-06T01:13:16Z,C,123,50,5960,3285
fucking-algorithm,labuladong,https://github.com/labuladong/fucking-algorithm,132923,2020-02-19T09:01:23Z,2026-03-06T02:03:24Z,Markdown,244,0,963,962
go,golang,https://github.com/golang/go,132900,2014-08-19T04:33:40Z,2026-03-06T01:44:30Z,Go,1,0,70411,60980
dify,langgenius,https://github.com/langgenius/dify,131352,2023-04-12T07:40:24Z,2026-03-06T02:01:52Z,TypeScript,9722,158,16742,16338
PowerToys,microsoft,https://github.com/microsoft/PowerToys,130250,2019-05-01T17:44:02Z,2026-03-06T01:56:49Z,C#,6349,127,38246,30147
system-prompts-and-models-of-ai-tools,x1xhlol,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,128453,2025-03-05T16:38:29Z,2026-03-06T02:06:01Z,None,46,0,189,108
langchain,langchain-ai,https://github.com/langchain-ai/langchain,128380,2022-10-17T02:58:36Z,2026-03-06T02:07:19Z,Python,16038,1000,9119,8874
30-seconds-of-code,Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code,126955,2017-11-29T17:35:03Z,2026-03-05T22:40:04Z,JavaScript,836,12,300,300
open-webui,open-webui,https://github.com/open-webui/open-webui,125890,2023-10-06T22:08:27Z,2026-03-06T02:07:24Z,Python,3314,152,7801,7614
react-native,facebook,https://github.com/facebook/react-native,125504,2015-01-09T18:10:16Z,2026-03-06T01:59:42Z,C++,957,444,27578,26830
hello-algo,krahets,https://github.com/krahets/hello-algo,122685,2022-11-04T11:08:34Z,2026-03-06T01:32:50Z,Java,968,10,282,274
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,120948,2014-06-06T22:56:04Z,2026-03-06T01:59:47Z,Go,64010,784,48631,46784
electron,electron,https://github.com/electron/electron,120319,2013-04-12T01:47:36Z,2026-03-06T02:05:00Z,C++,24552,1000,21477,20739
free-for-dev,ripienaar,https://github.com/ripienaar/free-for-dev,118671,2015-03-18T21:06:26Z,2026-03-06T01:56:53Z,HTML,2900,0,0,0
excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,118100,2020-01-02T01:04:43Z,2026-03-06T01:57:18Z,TypeScript,3838,14,4643,2539
opencode,anomalyco,https://github.com/anomalyco/opencode,116676,2025-04-30T20:08:00Z,2026-03-06T02:07:36Z,TypeScript,2583,728,9801,5087
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,116407,2013-11-04T01:59:19Z,2026-03-06T01:55:07Z,None,282,3,0,0
node,nodejs,https://github.com/nodejs/node,116090,2014-11-26T19:57:11Z,2026-03-06T01:07:49Z,JavaScript,11893,486,20089,18333
d3,d3,https://github.com/d3/d3,112468,2010-09-27T17:22:42Z,2026-03-05T20:47:03Z,Shell,494,194,2239,2229
iptv,iptv-org,https://github.com/iptv-org/iptv,112440,2018-11-14T22:00:57Z,2026-03-06T01:56:05Z,TypeScript,6821,0,21743,21447
three.js,mrdoob,https://github.com/mrdoob/three.js,111195,2010-03-23T18:58:01Z,2026-03-05T22:49:53Z,JavaScript,15235,175,13507,13065
rust,rust-lang,https://github.com/rust-lang/rust,110930,2010-06-16T20:39:03Z,2026-03-06T01:41:50Z,Rust,69560,147,61600,50473
rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,108714,2020-09-28T15:36:08Z,2026-03-06T02:05:47Z,Rust,3946,36,4001,3939
axios,axios,https://github.com/axios/axios,108584,2014-08-18T22:30:27Z,2026-03-05T23:38:53Z,JavaScript,1134,109,4958,4757
TypeScript,microsoft,https://github.com/microsoft/TypeScript,108027,2014-06-17T15:28:39Z,2026-03-06T00:13:34Z,TypeScript,14857,214,42958,37982
Awesome-Hacking,Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,107801,2016-03-30T15:47:10Z,2026-03-06T02:05:26Z,None,34,0,0,0
ui,shadcn-ui,https://github.com/shadcn-ui/ui,107775,2023-01-04T12:43:27Z,2026-03-06T02:03:02Z,TypeScript,1007,75,3931,2953
generative-ai-for-beginners,microsoft,https://github.com/microsoft/generative-ai-for-beginners,107565,2023-06-19T16:28:59Z,2026-03-06T01:36:57Z,Jupyter Notebook,521,0,207,202
godot,godotengine,https://github.com/godotengine/godot,107399,2014-01-04T16:05:36Z,2026-03-06T02:05:11Z,C++,41425,66,61284,48296
GitHub-Chinese-Top-Charts,GrowingGit,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,106598,2019-09-05T03:01:56Z,2026-03-06T02:06:01Z,Java,0,0,343,162
deno,denoland,https://github.com/denoland/deno,106313,2018-05-15T01:34:26Z,2026-03-06T01:26:18Z,Rust,14295,368,13955,11602
nodebestpractices,goldbergyoni,https://github.com/goldbergyoni/nodebestpractices,105147,2017-09-15T08:33:19Z,2026-03-05T22:40:12Z,Dockerfile,766,0,334,286
ComfyUI,Comfy-Org,https://github.com/Comfy-Org/ComfyUI,104963,2023-01-17T03:15:56Z,2026-03-06T02:07:29Z,Python,2214,125,7966,4511
